CustomerID,CustomerName,CustomerType,ContactEmail,City,State,Country,Region,GeoID,CreditLimit,PaymentTerms,IsActive,AccountOpenDate
CUST-001,Barnes & Noble,Retailer,orders@bn.com,New York,NY,United States,Northeast,GEO-001,500000.00,Net 60,TRUE,2018-01-15
CUST-002,Amazon Books,Online Retailer,vendor@amazon.com,Seattle,WA,United States,West,GEO-004,1000000.00,Net 30,TRUE,2017-03-01
CUST-003,Books-A-Million,Retailer,purchasing@bam.com,Birmingham,AL,United States,Southeast,GEO-007,250000.00,Net 45,TRUE,2019-06-20
CUST-004,Powell's Books,Independent,orders@powells.com,Portland,OR,United States,West,GEO-008,100000.00,Net 30,TRUE,2020-02-10
CUST-005,Indigo Books,Retailer,vendor@indigo.ca,Toronto,,Canada,International,GEO-030,200000.00,Net 45,TRUE,2019-11-05
CUST-006,Waterstones,Retailer,supply@waterstones.co.uk,London,,United Kingdom,International,GEO-033,300000.00,Net 60,TRUE,2020-04-15
CUST-007,Book Depository,Online,orders@bookdepository.com,London,,United Kingdom,International,GEO-033,400000.00,Net 30,TRUE,2018-09-01
CUST-008,Ingram Content Group,Distributor,partner@ingramcontent.com,Nashville,TN,United States,Southeast,GEO-005,750000.00,Net 45,TRUE,2017-01-01
CUST-009,Baker & Taylor,Distributor,supply@baker-taylor.com,Charlotte,NC,United States,Southeast,GEO-006,600000.00,Net 45,TRUE,2017-06-15
CUST-010,Midwest Library Services,Library Supplier,orders@midwestls.com,Bridgeton,MO,United States,Midwest,GEO-010,150000.00,Net 30,TRUE,2021-03-20
CUST-011,Brodart Books,Library Supplier,acquisition@brodart.com,Williamsport,PA,United States,Northeast,GEO-011,120000.00,Net 30,TRUE,2021-07-01
CUST-012,Scholastic (School Channel),Educational,k12orders@scholastic.com,New York,NY,United States,Northeast,GEO-001,350000.00,Net 60,TRUE,2019-01-10
CUST-013,Harvard Book Store,Independent,orders@harvard.com,Cambridge,MA,United States,Northeast,GEO-012,60000.00,Net 30,TRUE,2022-05-15
CUST-014,Strand Bookstore,Independent,buying@strandbooks.com,New York,NY,United States,Northeast,GEO-001,80000.00,Net 30,TRUE,2022-01-20
CUST-015,Blackwell's,Retailer,trade@blackwells.co.uk,Oxford,,United Kingdom,International,GEO-034,180000.00,Net 45,TRUE,2021-09-10
CUST-016,Target (Books Section),Mass Merchant,booksbuyer@target.com,Minneapolis,MN,United States,Midwest,GEO-009,400000.00,Net 60,TRUE,2020-08-01
CUST-017,Walmart (Books),Mass Merchant,media@walmart.com,Bentonville,AR,United States,Southeast,GEO-014,500000.00,Net 60,TRUE,2020-06-15
